Reporting_Date,Plant_ID,Energy_Source,Quantity_MWh
01-01-2024,PLNT_01,Grid Electricity,6026.79
01-01-2024,PLNT_01,Natural Gas,4406.84
01-01-2024,PLNT_01,Solar,1011.84
01-01-2024,PLNT_02,Grid Electricity,1464.99
01-01-2024,PLNT_02,Natural Gas,1160.82
01-01-2024,PLNT_02,Solar,1051.96
01-01-2024,PLNT_03,Grid Electricity,2557.98
01-01-2024,PLNT_03,Natural Gas,3815.25
01-01-2024,PLNT_03,Solar,411.08
01-01-2024,PLNT_04,Grid Electricity,3840.72
01-01-2024,PLNT_04,Natural Gas,2993.24
01-01-2024,PLNT_04,Solar,966.77
01-01-2024,PLNT_05,Grid Electricity,5544.58
01-01-2024,PLNT_05,Natural Gas,4092.61
01-01-2024,PLNT_05,Solar,476.5
01-02-2024,PLNT_01,Grid Electricity,2293.95
01-02-2024,PLNT_01,Natural Gas,4777.74
01-02-2024,PLNT_01,Solar,624.44
01-02-2024,PLNT_02,Grid Electricity,985.3
01-02-2024,PLNT_02,Natural Gas,5020.11
01-02-2024,PLNT_02,Solar,659.21
01-02-2024,PLNT_03,Grid Electricity,1678.28
01-02-2024,PLNT_03,Natural Gas,938.86
01-02-2024,PLNT_03,Solar,472.2
01-02-2024,PLNT_04,Grid Electricity,1040.77
01-02-2024,PLNT_04,Natural Gas,5044.27
01-02-2024,PLNT_04,Solar,204.61
01-02-2024,PLNT_05,Grid Electricity,3176.66
01-02-2024,PLNT_05,Natural Gas,2780.41
01-02-2024,PLNT_05,Solar,307.81
01-03-2024,PLNT_01,Grid Electricity,2960.2
01-03-2024,PLNT_01,Natural Gas,2494.82
01-03-2024,PLNT_01,Solar,132.46
01-03-2024,PLNT_02,Grid Electricity,4203.02
01-03-2024,PLNT_02,Natural Gas,1729.82
01-03-2024,PLNT_02,Solar,252.09
01-03-2024,PLNT_03,Grid Electricity,3399.66
01-03-2024,PLNT_03,Natural Gas,983.93
01-03-2024,PLNT_03,Solar,417.92
01-03-2024,PLNT_04,Grid Electricity,2235.67
01-03-2024,PLNT_04,Natural Gas,2505
01-03-2024,PLNT_04,Solar,979.35
01-03-2024,PLNT_05,Grid Electricity,3782.27
01-03-2024,PLNT_05,Natural Gas,1905.06
01-03-2024,PLNT_05,Solar,905.28
01-04-2024,PLNT_01,Grid Electricity,4024.73
01-04-2024,PLNT_01,Natural Gas,1679
01-04-2024,PLNT_01,Solar,378.53
01-04-2024,PLNT_02,Grid Electricity,1082.53
01-04-2024,PLNT_02,Natural Gas,2399.77
01-04-2024,PLNT_02,Solar,945.79
01-04-2024,PLNT_03,Grid Electricity,2151.69
01-04-2024,PLNT_03,Natural Gas,2456.49
01-04-2024,PLNT_03,Solar,925.38
01-04-2024,PLNT_04,Grid Electricity,4762.82
01-04-2024,PLNT_04,Natural Gas,1646.48
01-04-2024,PLNT_04,Solar,738.73
01-04-2024,PLNT_05,Grid Electricity,724.89
01-04-2024,PLNT_05,Natural Gas,1106.35
01-04-2024,PLNT_05,Solar,555.86
01-05-2024,PLNT_01,Grid Electricity,3150.82
01-05-2024,PLNT_01,Natural Gas,1971.04
01-05-2024,PLNT_01,Solar,230.33
01-05-2024,PLNT_02,Grid Electricity,1659.37
01-05-2024,PLNT_02,Natural Gas,4358.51
01-05-2024,PLNT_02,Solar,715.58
01-05-2024,PLNT_03,Grid Electricity,4993.85
01-05-2024,PLNT_03,Natural Gas,1937.55
01-05-2024,PLNT_03,Solar,508.07
01-05-2024,PLNT_04,Grid Electricity,4404.3
01-05-2024,PLNT_04,Natural Gas,3373.35
01-05-2024,PLNT_04,Solar,398.7
01-05-2024,PLNT_05,Grid Electricity,2938.9
01-05-2024,PLNT_05,Natural Gas,1005.46
01-05-2024,PLNT_05,Solar,834.87
01-06-2024,PLNT_01,Grid Electricity,1494.19
01-06-2024,PLNT_01,Natural Gas,2817.38
01-06-2024,PLNT_01,Solar,573.48
01-06-2024,PLNT_02,Grid Electricity,1746.9
01-06-2024,PLNT_02,Natural Gas,4569.89
01-06-2024,PLNT_02,Solar,478.38
01-06-2024,PLNT_03,Grid Electricity,4770.57
01-06-2024,PLNT_03,Natural Gas,4039.12
01-06-2024,PLNT_03,Solar,533.39
01-06-2024,PLNT_04,Grid Electricity,553.65
01-06-2024,PLNT_04,Natural Gas,768.74
01-06-2024,PLNT_04,Solar,843.15
01-06-2024,PLNT_05,Grid Electricity,2320.87
01-06-2024,PLNT_05,Natural Gas,739.19
01-06-2024,PLNT_05,Solar,333.68
01-07-2024,PLNT_01,Grid Electricity,2294.73
01-07-2024,PLNT_01,Natural Gas,6168.32
01-07-2024,PLNT_01,Solar,1175.55
01-07-2024,PLNT_02,Grid Electricity,1833.39
01-07-2024,PLNT_02,Natural Gas,1237.11
01-07-2024,PLNT_02,Solar,800.46
01-07-2024,PLNT_03,Grid Electricity,5010.46
01-07-2024,PLNT_03,Natural Gas,4164.45
01-07-2024,PLNT_03,Solar,1193.81
01-07-2024,PLNT_04,Grid Electricity,6140.68
01-07-2024,PLNT_04,Natural Gas,3935.16
01-07-2024,PLNT_04,Solar,1172.27
01-07-2024,PLNT_05,Grid Electricity,2478
01-07-2024,PLNT_05,Natural Gas,5160.66
01-07-2024,PLNT_05,Solar,379.97
