Shipment_ID,Plant_ID,Shipment_Date,Mode_of_Transport,Weight_Tons,Distance_KM
SHP_00000,PLNT_03,03-10-2025,Heavy Truck,4.42,724.78
SHP_00001,PLNT_05,23-07-2025,Heavy Truck,11.77,622.67
SHP_00002,PLNT_02,06-07-2024,Air Freight,19.03,7439.3
SHP_00003,PLNT_03,27-05-2026,Heavy Truck,2.89,58.06
SHP_00004,PLNT_02,14-06-2026,Heavy Truck,21.29,196.65
SHP_00005,PLNT_05,06-05-2026,Ocean Cargo,20.82,10543.17
SHP_00006,PLNT_04,01-01-2026,Heavy Truck,15.76,311.8
SHP_00007,PLNT_01,27-02-2026,Heavy Truck,20.1,158.62
SHP_00008,PLNT_04,15-09-2026,Ocean Cargo,23.72,1934.53
SHP_00009,PLNT_02,17-03-2026,Ocean Cargo,19.79,854.83
SHP_00010,PLNT_04,03-09-2026,Ocean Cargo,23.06,5256.66
SHP_00011,PLNT_02,05-09-2026,Heavy Truck,2.96,202.48
SHP_00012,PLNT_05,18-04-2026,Rail,10.41,340.31
SHP_00013,PLNT_04,08-04-2026,Heavy Truck,5.25,605.75
SHP_00014,PLNT_05,12-03-2025,Ocean Cargo,14.24,565.91
SHP_00015,PLNT_01,16-02-2024,Ocean Cargo,19.47,8074.16
SHP_00016,PLNT_01,25-02-2024,Ocean Cargo,11.84,9890.63
SHP_00017,PLNT_02,11-01-2026,Air Freight,10.33,8893.95
SHP_00018,PLNT_02,05-05-2025,Ocean Cargo,9.05,2160.29
SHP_00019,PLNT_05,23-10-2026,Heavy Truck,3.81,150.6
SHP_00020,PLNT_05,06-11-2025,Heavy Truck,19.11,148.4
SHP_00021,PLNT_05,27-05-2026,Ocean Cargo,10.25,3658.72
SHP_00022,PLNT_05,05-08-2024,Heavy Truck,3.09,380.16
SHP_00023,PLNT_04,10-01-2024,Rail,2.17,349.08
SHP_00024,PLNT_03,26-10-2026,Heavy Truck,6.73,689.85
SHP_00025,PLNT_03,19-09-2025,Ocean Cargo,19.6,8099.03
SHP_00026,PLNT_05,08-01-2024,Heavy Truck,14.06,179.66
SHP_00027,PLNT_01,09-10-2025,Heavy Truck,5.11,689.47
SHP_00028,PLNT_04,16-04-2026,Heavy Truck,11.57,507.05
SHP_00029,PLNT_01,23-03-2024,Heavy Truck,5.02,600.53
SHP_00030,PLNT_01,24-01-2024,Ocean Cargo,10.78,9724.19
SHP_00031,PLNT_04,02-12-2024,Ocean Cargo,17.82,10016.58
SHP_00032,PLNT_03,22-02-2024,Heavy Truck,6.61,395.86
SHP_00033,PLNT_01,18-09-2025,Heavy Truck,18.05,498.71
SHP_00034,PLNT_05,05-03-2026,Heavy Truck,16.41,617.68
SHP_00035,PLNT_03,01-12-2025,Heavy Truck,16.81,215.63
SHP_00036,PLNT_05,02-07-2024,Ocean Cargo,24.01,10948.28
SHP_00037,PLNT_03,18-03-2026,Heavy Truck,17.94,80.16
SHP_00038,PLNT_04,17-11-2026,Ocean Cargo,23.56,1463.66
SHP_00039,PLNT_01,03-05-2026,Ocean Cargo,9.07,174.09
SHP_00040,PLNT_05,14-07-2026,Heavy Truck,17.09,684.87
SHP_00041,PLNT_01,05-02-2026,Ocean Cargo,1.59,4024.25
SHP_00042,PLNT_05,05-11-2024,Ocean Cargo,24.28,3777.11
SHP_00043,PLNT_02,22-06-2024,Heavy Truck,24.09,288.14
SHP_00044,PLNT_02,08-02-2025,Ocean Cargo,22.77,1017.6
SHP_00045,PLNT_05,24-12-2025,Heavy Truck,7.15,354.47
SHP_00046,PLNT_04,27-03-2026,Heavy Truck,2.28,539.32
SHP_00047,PLNT_04,03-06-2024,Heavy Truck,9.56,518.95
SHP_00048,PLNT_03,16-08-2026,Ocean Cargo,23.23,3474.11
SHP_00049,PLNT_03,01-09-2026,Rail,15.12,305.96
SHP_00050,PLNT_04,20-06-2024,Ocean Cargo,17.56,9163.57
SHP_00051,PLNT_05,26-08-2024,Ocean Cargo,11.11,11684.4
SHP_00052,PLNT_05,15-08-2026,Ocean Cargo,3.2,5485
SHP_00053,PLNT_03,21-07-2024,Ocean Cargo,8.32,468.12
SHP_00054,PLNT_03,09-12-2024,Heavy Truck,4.46,141.87
SHP_00055,PLNT_01,27-11-2026,Ocean Cargo,19.57,5772.02
SHP_00056,PLNT_03,23-12-2025,Air Freight,8.58,10640.56
SHP_00057,PLNT_03,05-10-2024,Ocean Cargo,18.5,8401.69
SHP_00058,PLNT_01,26-01-2024,Ocean Cargo,21.31,7494.16
SHP_00059,PLNT_04,04-06-2024,Heavy Truck,4.45,454.65
SHP_00060,PLNT_05,17-08-2026,Air Freight,22.08,6810.66
SHP_00061,PLNT_05,13-12-2026,Heavy Truck,18.23,431.28
SHP_00062,PLNT_01,19-03-2024,Ocean Cargo,20.15,1897.83
SHP_00063,PLNT_04,10-01-2024,Heavy Truck,22.98,523.11
SHP_00064,PLNT_02,05-09-2026,Ocean Cargo,13.26,2521.77
SHP_00065,PLNT_04,06-05-2024,Heavy Truck,19.81,204.18
SHP_00066,PLNT_05,25-09-2025,Ocean Cargo,5.67,1856.51
SHP_00067,PLNT_05,04-07-2025,Heavy Truck,22.78,162.46
SHP_00068,PLNT_05,08-09-2024,Heavy Truck,22.83,75.04
SHP_00069,PLNT_05,24-01-2024,Ocean Cargo,14.66,6052.49
SHP_00070,PLNT_01,20-01-2025,Heavy Truck,21.43,726.79
SHP_00071,PLNT_04,19-11-2026,Ocean Cargo,18.74,2266.03
SHP_00072,PLNT_04,13-10-2026,Heavy Truck,2.12,526.55
SHP_00073,PLNT_04,08-02-2025,Ocean Cargo,14.31,9568.35
SHP_00074,PLNT_04,18-05-2025,Ocean Cargo,21.21,460.96
SHP_00075,PLNT_03,22-02-2024,Heavy Truck,19.91,76.93
SHP_00076,PLNT_02,06-06-2026,Heavy Truck,19.65,671.98
SHP_00077,PLNT_05,01-11-2025,Heavy Truck,5.59,630.36
SHP_00078,PLNT_01,09-12-2026,Rail,19.85,76.2
SHP_00079,PLNT_03,17-07-2024,Ocean Cargo,18.99,11196.49
SHP_00080,PLNT_05,13-12-2026,Rail,8.11,619.62
SHP_00081,PLNT_03,16-09-2025,Ocean Cargo,24.86,430.61
SHP_00082,PLNT_03,03-10-2026,Ocean Cargo,6.27,1921.97
SHP_00083,PLNT_04,24-11-2025,Ocean Cargo,6,7094.1
SHP_00084,PLNT_01,17-07-2025,Rail,11.63,84.19
SHP_00085,PLNT_01,02-04-2024,Heavy Truck,7.54,88.68
SHP_00086,PLNT_05,12-07-2024,Heavy Truck,18.11,496.83
SHP_00087,PLNT_03,19-02-2024,Rail,24.91,685.62
SHP_00088,PLNT_05,22-01-2025,Ocean Cargo,22.5,3313.41
SHP_00089,PLNT_02,03-05-2025,Heavy Truck,14.99,460.43
SHP_00090,PLNT_04,14-07-2026,Heavy Truck,16.62,172.88
SHP_00091,PLNT_01,14-03-2024,Ocean Cargo,17.54,11829.88
SHP_00092,PLNT_01,11-03-2025,Ocean Cargo,4.98,1234.81
SHP_00093,PLNT_05,23-05-2025,Heavy Truck,8.93,592.29
SHP_00094,PLNT_04,07-03-2026,Ocean Cargo,19.46,11046.87
SHP_00095,PLNT_03,07-11-2024,Rail,13,627.71
SHP_00096,PLNT_03,12-11-2026,Ocean Cargo,22.01,7600.86
SHP_00097,PLNT_02,23-05-2025,Ocean Cargo,12.14,2222.54
SHP_00098,PLNT_05,18-09-2025,Heavy Truck,12.77,163.26
SHP_00099,PLNT_05,15-09-2026,Ocean Cargo,15.35,4669.81
SHP_00100,PLNT_01,20-05-2026,Heavy Truck,23.25,422.05
SHP_00101,PLNT_02,08-11-2026,Heavy Truck,15.97,478.04
SHP_00102,PLNT_05,11-10-2026,Heavy Truck,14.73,797.65
SHP_00103,PLNT_04,03-02-2026,Heavy Truck,21.76,648.91
SHP_00104,PLNT_03,19-12-2026,Rail,13.69,73.6
SHP_00105,PLNT_02,03-07-2024,Ocean Cargo,13.66,7700.68
SHP_00106,PLNT_03,27-06-2026,Heavy Truck,15.7,199.63
SHP_00107,PLNT_02,20-01-2025,Ocean Cargo,2.7,10268.4
SHP_00108,PLNT_05,14-11-2024,Heavy Truck,11.17,667.92
SHP_00109,PLNT_04,14-05-2024,Ocean Cargo,11.26,593.59
SHP_00110,PLNT_02,06-07-2026,Ocean Cargo,18.98,1046.05
SHP_00111,PLNT_03,20-06-2024,Ocean Cargo,23.41,1554.02
SHP_00112,PLNT_04,01-01-2025,Heavy Truck,10.87,414.83
SHP_00113,PLNT_05,17-10-2024,Air Freight,19.62,7602.49
SHP_00114,PLNT_04,10-12-2024,Ocean Cargo,13.91,3663.47
SHP_00115,PLNT_04,25-08-2024,Heavy Truck,14.45,529.54
SHP_00116,PLNT_02,26-08-2026,Heavy Truck,9.23,92.4
SHP_00117,PLNT_02,25-01-2025,Heavy Truck,8.3,744.64
SHP_00118,PLNT_05,13-06-2026,Ocean Cargo,19.19,4169
SHP_00119,PLNT_05,27-02-2026,Heavy Truck,18.4,258.01
SHP_00120,PLNT_03,12-03-2025,Heavy Truck,9.15,328.56
SHP_00121,PLNT_04,10-02-2026,Heavy Truck,24.53,241.89
SHP_00122,PLNT_05,20-09-2025,Air Freight,19.78,5743.85
SHP_00123,PLNT_01,22-04-2026,Heavy Truck,18.01,185.9
SHP_00124,PLNT_02,17-04-2026,Heavy Truck,9.62,249.59
SHP_00125,PLNT_04,27-07-2026,Heavy Truck,8.9,157.21
SHP_00126,PLNT_03,05-02-2025,Rail,9.95,465.32
SHP_00127,PLNT_04,23-08-2026,Heavy Truck,8.29,543.08
SHP_00128,PLNT_05,07-09-2025,Rail,14.3,679.14
SHP_00129,PLNT_02,08-06-2024,Air Freight,13.61,428.23
SHP_00130,PLNT_03,22-01-2026,Rail,3.39,593.61
SHP_00131,PLNT_02,12-03-2026,Rail,13.91,376.5
SHP_00132,PLNT_02,16-07-2025,Ocean Cargo,6.14,8685.26
SHP_00133,PLNT_04,07-04-2024,Heavy Truck,24.7,100.35
SHP_00134,PLNT_04,13-06-2025,Heavy Truck,3.98,690.59
SHP_00135,PLNT_02,21-11-2026,Ocean Cargo,12.48,5990.85
SHP_00136,PLNT_05,13-02-2026,Ocean Cargo,18.75,8686.69
SHP_00137,PLNT_04,27-01-2025,Ocean Cargo,2.78,10023.22
SHP_00138,PLNT_04,04-09-2025,Heavy Truck,14.61,795.21
SHP_00139,PLNT_04,08-09-2024,Ocean Cargo,14.37,11225.67
SHP_00140,PLNT_04,01-10-2025,Rail,20.61,551.94
SHP_00141,PLNT_05,16-01-2024,Heavy Truck,4.91,720.88
SHP_00142,PLNT_03,24-08-2024,Heavy Truck,5.12,571.86
SHP_00143,PLNT_01,24-07-2024,Heavy Truck,10.28,196.86
SHP_00144,PLNT_01,12-02-2026,Heavy Truck,11.89,115.89
SHP_00145,PLNT_04,17-05-2024,Ocean Cargo,22.26,8992.57
SHP_00146,PLNT_04,20-07-2024,Heavy Truck,1.74,219.05
SHP_00147,PLNT_04,07-12-2026,Ocean Cargo,24.26,896.62
SHP_00148,PLNT_01,03-12-2026,Rail,9.41,168.83
SHP_00149,PLNT_01,17-11-2024,Heavy Truck,22.62,329.04
SHP_00150,PLNT_01,04-05-2024,Heavy Truck,23.2,195.3
SHP_00151,PLNT_02,17-06-2025,Ocean Cargo,21.2,3828.18
